商品名,品番CD,カラーNO,カラー名,サイズ数計,金額,革の種類
WHC 10000,30010005,1,MIX,0,,その他
WHC 5000,30010006,1,MIX,0,,その他
WHC 3000,30010007,1,MIX,0,,その他
WHC 2000,30010008,1,MIX,0,,その他
WHC 1000,30010009,1,MIX,0,,その他
P1280 BRI PLAIT KEY FOB,30110001,5,GRN,0,11000.0,PLAI
S5571 BRI CARD NC,30110041,5,GRN,1,26000.0,BRI
S5938 BRI COIN PURSE,30110059,1,NEW,6,18000.0,BRI
S5938 BRI COIN PURSE,30110059,2,HAV,10,18000.0,BRI
S5938 BRI COIN PURSE,30110059,3,BLK,0,18000.0,BRI
S5938 BRI COIN PURSE,30110059,4,RED,5,18000.0,BRI
S5938 BRI COIN PURSE,30110059,5,GRN,9,18000.0,BRI
S5938 BRI COIN PURSE,30110059,6,NVY,10,18000.0,BRI
S0668 BRI KEY FOB,30110062,1,NEW,14,3500.0,BRI
S0668 BRI KEY FOB,30110062,2,HAV,15,3500.0,BRI
S0668 BRI KEY FOB,30110062,3,BLK,6,3500.0,BRI
S0668 BRI KEY FOB,30110062,4,RED,11,3500.0,BRI
S0668 BRI KEY FOB,30110062,5,GRN,4,3500.0,BRI
S0668 BRI KEY FOB,30110062,6,NVY,2,3500.0,BRI
S7412 BRI NAME CARD,30110080,1,NEW,11,19000.0,BRI
S7412 BRI NAME CARD,30110080,2,HAV,0,19000.0,BRI
S7412 BRI NAME CARD,30110080,3,BLK,0,19000.0,BRI
S7412 BRI NAME CARD,30110080,4,RED,4,19000.0,BRI
S7412 BRI NAME CARD,30110080,5,GRN,0,19000.0,BRI
S7412 BRI NAME CARD,30110080,6,NVY,0,19000.0,BRI
S7532 BRI NC/COIN,30110085,1,NEW,9,42000.0,BRI
S7532 BRI NC/COIN,30110085,2,HAV,1,42000.0,BRI
S7532 BRI NC/COIN,30110085,3,BLK,43,42000.0,BRI
S7532 BRI NC/COIN,30110085,4,RED,0,42000.0,BRI
S7532 BRI NC/COIN,30110085,5,GRN,1,42000.0,BRI
S7532 BRI NC/COIN,30110085,6,NVY,9,42000.0,BRI
S7660 BRI 3F PURSE,30110096,1,NEW,0,46000.0,BRI
S7660 BRI 3F PURSE,30110096,2,HAV,0,46000.0,BRI
S7660 BRI 3F PURSE,30110096,3,BLK,0,46000.0,BRI
S7660 BRI 3F PURSE,30110096,4,RED,6,46000.0,BRI
S7660 BRI 3F PURSE,30110096,5,GRN,0,46000.0,BRI
S7660 BRI 3F PURSE,30110096,6,NVY,0,46000.0,BRI
S8490 BRI SHOE LIFT,30110122,1,NEW,12,9000.0,BRI
S8490 BRI SHOE LIFT,30110122,2,HAV,29,9000.0,BRI
S8490 BRI SHOE LIFT,30110122,3,BLK,0,9000.0,BRI
S8490 BRI SHOE LIFT,30110122,4,RED,8,9000.0,BRI
S8490 BRI SHOE LIFT,30110122,5,GRN,0,9000.0,BRI
S8490 BRI SHOE LIFT,30110122,6,NVY,15,9000.0,BRI
S8559 BRI SPECTACLE,30110126,1,NEW,0,19000.0,BRI
S8559 BRI SPECTACLE,30110126,2,HAV,0,19000.0,BRI
S8559 BRI SPECTACLE,30110126,3,BLK,0,19000.0,BRI
S8559 BRI SPECTACLE,30110126,4,RED,0,19000.0,BRI
S8559 BRI SPECTACLE,30110126,5,GRN,0,19000.0,BRI
S8559 BRI SPECTACLE,30110126,6,NVY,0,19000.0,BRI
S7532 BRI NC/COIN,30110218,1,ANT,3,42000.0,BRI
S7660 BRI 3F PURSE,30110219,1,ANT,0,46000.0,BRI
S7412 BRI NAME CARD,30110220,1,ANT,0,19000.0,BRI
S0668 BRI KEY FOB,30110237,1,ANT,1,3500.0,BRI
S7532 BRI SALE,30110265,1,NEW,22,42000.0,BRI
S7532 BRI SALE,30110265,2,HAV,53,42000.0,BRI
S7532 BRI SALE,30110265,4,RED,11,42000.0,BRI
S7532 BRI SALE,30110265,5,GRN,16,42000.0,BRI
S7532 BRI SALE,30110265,6,NVY,23,42000.0,BRI
S7660 BR2 UA,30110406,9,NV/YE *,0,46000.0,BR2
S3068 BR2 SALE,30110412,1,BK/NE,0,22000.0,BR2
S9905 BRI TRAIN PASSCASE,30110419,1,NEW,5,14000.0,BRI
S9905 BRI TRAIN PASSCASE,30110419,2,HAV,3,14000.0,BRI
S9905 BRI TRAIN PASSCASE,30110419,3,BLK,0,14000.0,BRI
S9905 BRI TRAIN PASSCASE,30110419,4,RED,6,14000.0,BRI
S9905 BRI TRAIN PASSCASE,30110419,5,GRN,4,14000.0,BRI
S9905 BRI TRAIN PASSCASE,30110419,6,NVY,0,14000.0,BRI
S7532 BR2 NC/COIN  FRAME,30110422,4,NV/YE *,0,42000.0,BR2
S9829 SAFARI COIN WALLET FR,30110458,1,BRN,0,17000.0,SAFARI
S1009 BRI QUOVADIS COVER,30110461,4,RED,0,42000.0,BRI
S1010 BRI QUOVADIS COVER,30110462,4,RED,0,28000.0,BRI
S1023 BRI PENCASE,30110463,1,NEW,0,18000.0,BRI
S1023 BRI PENCASE,30110463,2,HAV,0,18000.0,BRI
S1023 BRI PENCASE,30110463,3,BLK,0,18000.0,BRI
S1023 BRI PENCASE,30110463,4,RED,4,18000.0,BRI
S1023 BRI PENCASE,30110463,5,GRN,0,18000.0,BRI
S1023 BRI PENCASE,30110463,6,NVY,0,18000.0,BRI
S2622 BR2 FR SALE,30110474,1,MA/LG,0,58000.0,BR2
S1071 BRI RHODIA #13 COVER,30110483,1,NEW,0,28000.0,BRI
S1071 BRI RHODIA #13 COVER,30110483,2,HAV,0,28000.0,BRI
S1071 BRI RHODIA #13 COVER,30110483,3,BLK,0,28000.0,BRI
S1071 BRI RHODIA #13 COVER,30110483,4,RED,1,28000.0,BRI
S1071 BRI RHODIA #13 COVER,30110483,5,GRN,0,28000.0,BRI
S1071 BRI RHODIA #13 COVER,30110483,6,NVY,0,28000.0,BRI
S1070 BR2 RHODIA #11 COVER,30110496,1,BK/RE,7,18000.0,BR2
S1071 BR2 RHODIA #13 COVER,30110497,1,BK/RE,0,28000.0,BR2
S7532 DERBY COLLECTION,30110501,5,BK/TA 2012,0,41000.0,DERBY
S7532 DERBY COLLECTION,30110501,6,BR/TA 2012,0,41000.0,DERBY
S7532 DERBY COLLECTION,30110501,8,NA/TA,0,41000.0,DERBY
S7532 DERBY COLLECTION,30110501,9,NV/RE ,8,41000.0,DERBY
S7660 DERBY COLLECTION,30110502,5,BK/TA 2012,0,45000.0,DERBY
S7660 DERBY COLLECTION,30110502,6,BR/TA 2012,1,45000.0,DERBY
S7660 DERBY COLLECTION,30110502,8,NA/TA,0,45000.0,DERBY
S7660 DERBY COLLECTION,30110502,9,NV/RE ,0,45000.0,DERBY
S7412 DERBY COLLECTION,30110503,5,BK/TA 2012,0,18000.0,DERBY
S7412 DERBY COLLECTION,30110503,6,BR/TA 2012,0,18000.0,DERBY
S7412 DERBY COLLECTION,30110503,8,NA/TA,0,18000.0,DERBY
S7412 DERBY COLLECTION,30110503,9,NA/RE,0,18000.0,DERBY
S9692 DERBY COLLECTION,30110504,5,BK/TA 2012,6,19000.0,DERBY
S9692 DERBY COLLECTION,30110504,6,BR/TA 2012,11,19000.0,DERBY
S9692 DERBY COLLECTION,30110504,8,NA/TA,9,19000.0,DERBY
